Year,Type,Location,Landings in lb,Dollar Value,Number of Trips
2013,BLUE CRAB,BARATARIA BASIN,"6,675,788",8603032,"17,130"
2013,BLUE CRAB,CALCASIEU RIVER BASIN,"1,414,889",1834622,"5,350"
2013,BLUE CRAB,LAKE PONTCHARTRAIN BASIN,"12,945,441",17898835,"29,534"
2013,BLUE CRAB,LOUISIANA GRID 14,,,
2013,BLUE CRAB,LOUISIANA GRID 17,,,
2013,BLUE CRAB,MERMENTAU RIVER BASIN,"809,447",1101313,"3,198"
2013,BLUE CRAB,MISSISSIPPI RIVER BASIN,"2,576,241",3104810,"3,973"
2013,BLUE CRAB,SABINE RIVER BASIN,"351,841",410467,821
2013,BLUE CRAB,TERREBONNE BASIN,"9,047,329",10883912,"25,842"
2013,BLUE CRAB,ATCHAFALAYA/VERMILION-TECH BASIN,"5,395,897",7805239,"20,157"
2013,BLUE CRAB,BARATARIA BASIN,"6,675,788",8603032,"17,130"
2013,BLUE CRAB,CALCASIEU RIVER BASIN,"1,414,889",1834622,"5,350"
2013,BLUE CRAB,LAKE PONTCHARTRAIN BASIN,"12,945,441",17898835,"29,534"
2013,BLUE CRAB,LOUISIANA GRID 14,,,
2013,BLUE CRAB,LOUISIANA GRID 17,,,
2013,BLUE CRAB,MERMENTAU RIVER BASIN,"809,447",1101313,"3,198"
2013,BLUE CRAB,MISSISSIPPI RIVER BASIN,"2,576,241",3104810,"3,973"
2013,BLUE CRAB,SABINE RIVER BASIN,"351,841",410467,821
2013,BLUE CRAB,TERREBONNE BASIN,"9,047,329",10883912,"25,842"
2014,BLUE CRAB,ATCHAFALAYA/VERMILION-TECH BASIN,"6,010,982",9900825,"21,095"
2014,BLUE CRAB,BARATARIA BASIN,"5,959,852",9057871,"16,366"
2014,BLUE CRAB,CALCASIEU RIVER BASIN,"1,671,008",2649803,"5,740"
2014,BLUE CRAB,LAKE PONTCHARTRAIN BASIN,"14,231,206",23888761,"34,530"
2014,BLUE CRAB,LOUISIANA GRID 13,,,
2014,BLUE CRAB,LOUISIANA GRID 14,,,
2014,BLUE CRAB,LOUISIANA GRID 15,,,
2014,BLUE CRAB,LOUISIANA GRID 16,,,
2014,BLUE CRAB,LOUISIANA GRID 17,,,
2014,BLUE CRAB,MERMENTAU RIVER BASIN,"961,888",1637321,"3,762"
2014,BLUE CRAB,MISSISSIPPI RIVER BASIN,"3,113,436",4199083,"4,952"
2014,BLUE CRAB,SABINE RIVER BASIN,"495,577",591463,"1,050"
2014,BLUE CRAB,TERREBONNE BASIN,"10,065,323",14109663,"27,676"
2002,BROWN SHRIMP,ATCHAFALAYA/VERMILION-TECH BASIN,"418,143",425727,318
2002,BROWN SHRIMP,BARATARIA BASIN,"15,529,822",15425703,"15,326"
2002,BROWN SHRIMP,CALCASIEU RIVER BASIN,"879,208",829943,"2,615"
2002,BROWN SHRIMP,LAKE PONTCHARTRAIN BASIN,"4,997,943",6248641,"4,819"
2002,BROWN SHRIMP,LOUISIANA GRID 13,"5,760,106",6949294,"1,506"
2002,BROWN SHRIMP,LOUISIANA GRID 14,"7,838,547",10498806,"2,495"
2002,BROWN SHRIMP,LOUISIANA GRID 15,"4,337,247",5781251,947
2002,BROWN SHRIMP,LOUISIANA GRID 16,"1,771,111",2328665,334
2002,BROWN SHRIMP,MISSISSIPPI RIVER BASIN,"1,321,340",1522504,"1,603"
2002,BROWN SHRIMP,TERREBONNE BASIN,"9,486,784",9739989,"12,600"
2003,BROWN SHRIMP,ATCHAFALAYA/VERMILION-TECH BASIN,"558,634",451106,339
2003,BROWN SHRIMP,BARATARIA BASIN,"17,762,377",13278195,"13,603"
2003,BROWN SHRIMP,CALCASIEU RIVER BASIN,"993,527",532223,"2,025"
2003,BROWN SHRIMP,LAKE PONTCHARTRAIN BASIN,"4,755,535",4810854,"4,045"
2003,BROWN SHRIMP,LOUISIANA GRID 13,"7,485,415",7354223,"1,586"
2003,BROWN SHRIMP,LOUISIANA GRID 14,"6,521,777",7791508,"1,540"
2003,BROWN SHRIMP,LOUISIANA GRID 15,"4,915,235",5023662,748
2003,BROWN SHRIMP,LOUISIANA GRID 16,"1,970,734",1963753,249
